Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
0,187.272,228.021,28.1,77.745,173.033,66.41183594238846,510.1866887
1,113.721,193.543,28.96,40.38,124.758,78.24866423650317,423.3983631
1,208.214,229.658,16.911,56.841,180.538,78.62883391402903,422.8432015
3,148.857,247.53,67.238,35.69,223.895,46.69494352887119,782.1082955
4,229.29,239.593,75.772,35.797,96.363,45.52135789943848,820.9639538
4,153.389,218.854,84.716,56.896,174.181,42.74928409797918,897.9962823
5,180.619,205.68,14.836,24.07,222.799,84.87552248411326,378.7985643
7,97.824,193.3,31.291,54.479,100.919,75.39525505095831,435.2263003
10,88.059,194.961,26.591,95.623,82.196,81.44478995052123,421.381178
10,47.795,234.158,32.225,73.582,93.964,70.83509144409278,450.5279047
10,133.435,236.738,13.022,45.386,73.457,85.12593351358424,312.4591389
12,60.509,192.458,37.744,71.215,152.299,69.2164395396002,502.6847575
12,172.611,210.809,17.511,87.871,124.692,81.4504518970891,406.1405009
13,154.37,227.054,48.938,42.095,140.68,54.77492839342432,609.8785596
14,112.493,240.39,12.571,60.552,65.134,88.09362858594933,310.5275363
17,151.088,225.791,15.518,25.705,50.392,91.14664026144918,308.5378832
18,47.955,235.734,103.314,65.644,92.129,42.12881164839008,972.8558081
18,165.368,227.171,57.271,43.294,230.235,49.65116029781311,715.0858884
18,230.428,231.113,60.874,34.471,87.877,51.36627130363135,702.5998682
18,248.563,246.29,77.182,65.527,113.533,43.726019704072776,872.4759144
20,143.196,193.638,82.084,38.446,187.373,45.28906539792292,855.2712302
21,143.896,205.052,88.932,103.947,175.242,42.143967801598734,957.3281121
22,103.23,223.968,40.631,98.488,167.076,60.321447371070704,581.6669038
23,195.307,195.464,97.807,59.1,157.738,41.60752004424608,997.5844511
24,82.502,211.341,10.065,49.551,72.154,112.053646157292,262.464339

