Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
0,30.481,215.128,92.833,107.4,171.474,44.16492037767527,945.8598655
2,234.382,229.317,48.839,100.663,228.996,50.508005296105296,725.5054166
3,202.799,199.914,18.727,36.147,61.24,89.49565226207902,355.5720792
7,110.648,231.525,16.376,68.659,123.253,83.86560848948224,365.4199001
8,52.824,230.756,13.018,17.329,126.937,101.1641860999718,278.1559669
10,195.085,169.07,58.83,76.478,87.167,57.664889403685166,680.8547803
12,62.275,246.288,46.834,47.036,161.416,58.02323016651576,577.5409175
14,36.711,241.714,43.086,35.075,176.354,61.88431750375807,534.4664539
14,175.789,253.634,68.728,84.887,238.991,44.20113543966846,851.454009
14,99.541,233.906,30.097,48.883,203.889,68.8600220632629,482.486351
15,220.819,223.421,22.94,19.942,58.936,79.8383192152542,389.9302292
16,243.706,239.796,84.039,68.522,177.886,39.48551591528228,948.428647
16,38.392,246.688,61.927,118.075,89.29,53.317547468561166,705.5842785
18,80.696,198.374,17.278,15.729,84.557,95.62569254738759,288.8628048
20,21.446,245.403,29.529,90.384,89.011,76.52869502023012,435.4887526
21,231.214,219.921,61.4,107.987,218.116,46.284194555993615,815.0040349
24,89.864,246.371,56.95,123.242,117.035,55.31083160940234,704.9367538

