Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
1,170.039,245.14,71.477,192.605,189.368,6.578524181904665,929.7015422
1,67.572,51.95,0.464,142.811,209.76,-6.064345584586521,252.186297
1,61.042,223.528,106.182,54.387,103.309,6.651897281902046,990.4291952
1,248.513,224.849,77.891,30.268,54.893,6.4733516531593605,816.6702422
1,197.478,184.497,17.633,92.008,136.953,5.4076005194191135,414.8902908
1,103.886,16.745,16.36,158.441,185.596,2.5621295145196914,372.8925449
1,230.115,176.491,20.515,21.348,203.78,5.562871912316794,419.0335206
1,43.425,101.887,53.24,200.759,78.852,5.628829465681179,645.1817534
1,143.639,222.302,73.671,32.004,87.213,6.437115679404535,757.0660478

