Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
1,155.673,229.142,10.588,125.875,55.574,5.2909921037745296,355.8385327
1,236.234,184.14,60.429,104.255,120.203,6.320300973978602,751.1170526
1,196.875,173.887,46.351,32.845,176.408,6.1386914716486585,594.1847661
1,226.363,173.668,71.564,43.906,121.36,6.410004412996152,778.8791293
1,41.603,223.971,40.209,30.391,27.436,5.742505879483307,441.3240381
1,134.961,202.695,43.768,67.76,157.987,6.116734964030477,581.2600031
1,137.299,185.138,52.898,93.83,160.222,6.208061086194024,664.4212828
1,116.517,7.771,2.439,4.63,195.956,-3.760922601775388,154.5648299
1,38.541,80.959,10.947,105.88,16.295,2.213343909089781,219.442722
1,206.52,233.916,36.275,125.276,213.988,6.181846596398036,635.6821312
1,163.586,109.503,16.679,99.622,64.304,4.437616705318115,339.2560465
1,169.528,184.175,6.9,47.11,59.992,4.422602250993474,255.9705083
1,80.167,208.158,29.318,187.203,175.104,5.780673521660281,554.8780333
1,111.824,191.672,27.968,22.552,78.012,5.589847671282915,380.7748509
1,234.521,236.359,85.311,57.89,140.652,6.651250013259601,928.7395381
1,230.127,219.368,72.917,94.504,76.431,6.450763146109141,829.5633248
1,155.496,209.846,86.009,37.176,86.144,6.517799285697259,852.178285
1,75.188,212.207,48.311,20.525,186.857,5.815198636216458,569.9536542
1,164.177,223.671,58.747,49.256,80.04,6.294670706727004,665.409433
1,149.503,177.384,80.287,110.159,240.727,6.560889679128297,916.6960021
1,37.097,20.919,0.153,18.381,45.522,-7.158163130075776,58.13617009
1,181.981,134.44,1.257,12.734,65.588,-3.1235386414777486,174.3996705
1,120.277,145.264,67.046,28.105,205.76,6.318617830278674,714.404936
1,24.032,50.999,12.86,58.471,155.481,2.2598015215141345,237.3704933

