Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
0,30.231,138.143,24.647,28.896,376.321,8.44935618548248,432.6722494
1,212.392,7.661,31.215,139.003,458.532,6.71381811949966,623.412147
4,106.806,62.502,8.005,11.58,374.736,8.60555542353363,295.0421793
4,4.305,205.803,3.188,13.333,263.023,11.99871983297,229.8326289
7,176.442,11.679,6.313,29.252,304.933,10.2706927896953,274.4109637
7,45.329,0.898,31.21,27.09,381.814,7.99531229381542,433.2152517
14,1.435,0.168,0.963,0.296,145.363,21.9107243127036,69.43848778
14,104.124,77.276,1.098,70.291,306.388,10.4102019690834,265.7335015
14,91.928,29.057,3.149,1.962,243.976,12.9704279682683,176.7053852
20,154.846,39.541,1.648,5.516,244.37,12.6980550383061,198.0423138
20,124.596,59.834,1.599,54.25,350.57,8.87714671387214,276.7573886
20,19.763,8.024,0.51,16.776,59.187,52.3942406550453,53.13665302
20,143.708,4.871,2.696,28.492,251.624,12.256114490482,208.4851787
20,62.07,6.48,2.962,5.639,191.244,16.1018971313903,134.8206142
23,133.841,26.063,8.8,17.115,267.162,11.7876490215423,256.0724518
23,81.462,92.03,10.865,128.608,437.793,7.32417011344794,436.4306221
23,47.459,54.642,3.84,9.1,202.914,15.8580379869818,162.4981363
