Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
0,120.306,187.45,14.849,14.562,32.868,104.15931743645939,259.5980027
2,106.744,197.739,12.501,65.752,82.505,98.6739188920245,301.9424809
2,212.023,226.451,15.592,23.267,86.444,79.77095406042197,347.1957168
2,234.104,238.474,16.998,27.13,162.807,73.13118844711494,406.6632197
2,8.616,248.141,70.61,75.26,135.915,48.90481123089076,744.8606295
3,90.94,174.024,103.117,66.158,156.745,40.76802345321702,991.550449
3,1.128,220.963,71.117,57.614,201.411,47.87328051107435,748.5002643
4,110.972,240.557,69.249,99.4,166.894,46.02701635514005,804.9074948
5,128.592,224.625,57.295,26.772,155.658,53.6918080427387,654.9759592
7,65.985,250.868,46.972,34.816,67.004,59.98109392539007,532.4391235
10,110.562,230.279,96.184,72.263,174.018,41.044020986306215,982.6208741
10,133.342,212.815,28.31,23.183,83.192,76.94415648594752,403.1720464
13,165.756,178.609,81.106,36.156,222.201,44.07341267800211,863.9445407
14,93.057,216.477,52.569,40.047,174.422,56.48813888271771,620.5894136
14,167.908,200.334,80.211,43.071,231.934,43.73793996982583,876.4351987
19,105.506,231.896,18.499,21.201,50.477,83.24414014589135,311.3184296
19,12.59,238.639,39.875,28.557,100.025,66.39348294291362,462.2887668
19,126.138,175.693,84.034,35.357,244.475,43.33320546964129,877.3792852
19,239.784,214.516,71.371,100.788,233.625,43.09912763488029,891.3278165
19,16.192,208.95,104.091,53.6,209.733,39.122831833787764,995.2955725
22,54.286,219.574,94.145,40.332,183.631,41.23632154286754,919.5109128
24,69.466,215.558,80.448,62.431,215.636,44.13958688842883,853.0050719
24,239.373,242.183,54.129,88.968,188.052,48.57496481922799,745.5618196

