Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
1,91.997,101.419,6.724,43.826,243.824,3.0959007199205866,265.2190917
1,91.526,236.107,78.99,33.03,89.924,6.481687175341775,783.1501007
1,80.127,253.897,20.274,19.704,78.611,5.6728693400951276,333.8672528
1,49.012,277.521,86.506,43.241,216.625,6.688469672092884,900.1250815
1,174.133,194.853,30.888,18.281,107.054,5.815125165568146,437.7649568
1,35.949,103.641,76.501,32.843,249.291,6.298738370661301,756.122636
1,51.253,118.064,7.176,87.576,30.322,3.0658589783277965,203.0185814
1,63.211,102.335,18.535,14.396,127.905,4.31691716440766,269.7808237
1,132.862,263.599,60.726,106.691,219.739,6.516572350522781,787.6546562
1,169.514,201.544,73.331,34.801,246.143,6.554746435701964,825.9220747
1,207.564,215.857,71.357,30.79,87.27,6.439596835996927,762.0661945
1,89.162,261.263,91.525,48.149,244.42,6.731587489947861,962.6542956
1,55.855,58.564,2.359,90.19,8.066,-0.7825737024713075,137.7518278
1,87.785,198.101,44.651,44.423,133.73,6.042494132032206,538.4361607
1,78.561,223.986,52.554,30.01,171.362,6.268430771161633,608.499599
1,72.355,246.809,29.056,20.85,59.901,5.787417360364329,386.1867427
