Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
3,182.898,245.108,90.153,53.537,174.185,39.72873808817789,958.2381447
3,109.145,197.143,43.477,40.622,244.438,61.47553316662008,581.6982777
3,175.73,226.908,12.608,14.488,98.384,89.1902507929925,308.7388376
4,202.694,230.718,26.712,36.536,54.336,71.07953949804077,424.695354
7,86.624,230.205,13.07,66.482,49.041,97.47590243779672,297.580687
9,111.987,238.934,90.757,90.69,231.117,38.37058960996535,984.8950248
9,131.603,219.475,57.091,38.0,164.518,51.39090903850872,665.1481908
9,203.584,232.48,25.445,90.201,128.3,67.36679031028136,489.6801679
11,94.543,245.366,54.448,38.532,193.552,53.058441452496766,653.6798652
12,171.029,188.627,40.652,55.58,161.664,62.37810974005613,558.9424115
13,76.971,249.721,20.81,40.305,91.288,78.85078485409187,356.4169394
14,2.551,240.381,64.926,42.582,182.765,50.34981360330326,691.1836749
14,21.657,243.895,54.945,52.034,196.039,53.344397645471325,639.0890217
15,249.745,240.605,41.974,115.362,85.18,58.11902075300128,635.9669754
15,32.398,246.228,58.793,64.496,153.224,52.865330246767634,664.6568468
15,168.721,162.573,16.879,18.453,29.574,105.60411215238942,285.828428
16,185.439,246.074,70.647,61.016,232.818,43.51963460813446,845.2323852
17,120.07,233.486,63.378,57.659,136.024,49.76365803150141,716.282701
17,147.646,196.48,73.54,92.347,196.008,46.296918730392974,840.6012584
17,159.709,210.021,43.626,115.688,138.458,59.84740729574088,622.4618912
18,79.124,236.157,71.623,54.612,143.757,47.4009513279871,763.0645469
18,120.643,203.588,19.563,20.921,73.738,86.08471917917407,323.5347927
21,176.213,213.557,64.296,38.926,230.348,47.75772293958411,762.8318414
22,159.438,89.457,141.087,168.195,0.0,0.0,10000000000.0
22,52.084,218.489,13.278,31.385,27.703,111.851728973776,243.9646815
23,99.349,235.912,31.514,23.805,43.121,72.68682391173579,406.1742488
24,226.673,245.824,16.489,26.057,89.15,73.67648097295722,370.8918368
24,59.379,241.034,87.272,42.121,228.472,40.259865002754516,899.4334345
