Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
0,33.419,225.434,73.378,98.902,168.627,47.853008802929175,798.6507547
0,162.415,0.0,52.865,36.28,3.114,0.0,10000000000.0
1,143.545,236.63,28.941,51.856,235.41,64.90593119083994,508.3444818
2,19.175,188.212,16.86,30.671,37.477,119.45371915125473,248.7371044
3,199.109,254.274,16.579,16.375,86.75,82.81683753210878,355.2589572
3,33.363,247.127,25.562,69.85,151.036,78.49095684550348,421.5708863
5,121.908,223.483,36.019,33.132,137.859,64.94379727053531,491.0846193
7,221.559,182.211,66.899,50.441,239.791,47.342598123027095,800.8448083
7,128.846,235.091,91.383,56.015,237.029,38.693044639605944,970.0855133
8,105.514,234.267,22.39,17.883,88.972,83.87674559435827,354.867328
9,78.813,241.044,64.019,57.815,149.831,49.53056218950515,713.4397699
11,196.067,244.277,75.958,52.973,207.994,41.252605232111016,871.4856999
12,132.607,201.494,11.377,11.854,55.446,116.31628783229417,251.7958857
13,90.794,182.028,10.874,61.727,40.795,112.34828965347376,256.3249177
13,203.108,242.266,69.082,54.453,184.526,43.916686050017766,813.6273627
13,96.629,220.072,91.25,83.831,231.002,39.84269557526634,969.3583914
13,195.498,230.446,10.287,26.793,52.834,88.2073050163731,291.272806
13,13.753,183.011,32.323,19.896,204.089,82.39314584592879,421.3701413
15,146.586,223.616,26.394,80.044,124.2,71.86150569920402,460.5282255
15,152.869,237.926,47.014,26.381,109.515,56.971989776622074,573.8525613
15,34.014,246.74,71.006,33.891,199.994,49.218255958556874,752.0787668
18,156.168,256.859,43.914,85.261,213.37,54.56751286977847,649.8043908
18,205.308,209.455,68.848,69.806,139.258,49.10196986336336,792.4891571
20,167.288,235.526,38.693,51.83,157.507,59.123037300714216,557.0484618
23,244.161,222.004,18.401,65.974,117.95,75.05580486106223,426.038782
23,152.862,224.748,15.939,70.565,54.526,84.55883471823327,348.8991753
23,197.734,237.684,70.884,46.01,156.049,44.35330388655937,804.3685814
