Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
1,98.927,22.828,35.991,86.321,233.146,4.845122094890969,482.8352013
1,8.281,188.962,75.238,31.117,123.354,6.256121343780913,715.387445
1,150.708,10.997,17.116,8.061,97.969,2.5382881932873405,240.0686994
1,221.875,151.401,52.113,47.439,53.566,5.953408061703391,597.6047897
1,236.2,126.112,83.635,105.261,201.105,6.513386797417591,935.2727177
1,91.729,56.573,96.552,66.124,142.872,6.346837522649619,889.8889545
1,210.111,209.538,7.527,104.424,82.021,4.6958443736199404,341.4408633
1,172.007,245.119,72.306,185.924,232.844,6.61055283288105,949.7728179
1,181.4,208.667,87.323,89.461,58.129,6.487381989270438,901.0827029
1,82.187,144.076,19.188,153.717,72.765,4.808295422730162,385.0744319
1,18.745,110.383,67.593,72.202,184.854,6.121778376168911,689.3275531

